Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street
03/02/2019,9,464,468,-1,608,241,795,-1,160,112,62,89,270,-1,212,257,245,155,71,118,197,231,-1,226,844,450,760,172,705,551,231,125,undefined,65,40,1144,143,98,412,129,76,102,48,34,-1,-1,29,515,288,236,137,155,212,63,-1,148,157,412,undefined
03/02/2019,10,1020,912,-1,1048,381,1238,-1,161,119,71,64,336,-1,328,440,628,213,78,260,395,356,-1,233,1058,618,1120,252,1207,970,455,178,undefined,86,98,1620,117,131,615,110,150,251,52,41,-1,-1,45,768,428,460,271,167,327,68,-1,335,261,615,undefined
03/02/2019,11,1587,1226,-1,1372,657,1383,-1,145,122,66,76,288,-1,352,648,728,191,94,669,400,582,-1,226,989,648,1357,329,1579,1120,442,203,undefined,93,63,1701,150,113,606,143,139,191,79,55,-1,-1,52,844,560,355,311,264,391,60,-1,371,191,606,undefined
03/02/2019,12,2065,1420,-1,1865,884,1381,-1,187,146,85,63,236,-1,286,844,950,215,97,1181,511,700,-1,199,1109,786,1407,349,2646,1707,554,314,undefined,74,111,2058,124,213,541,120,171,105,78,58,-1,-1,52,1045,629,363,444,283,468,85,-1,448,235,541,undefined
03/02/2019,13,2096,1415,-1,1881,750,1267,-1,149,119,71,59,203,-1,288,919,743,135,89,1288,441,759,-1,160,1107,788,1399,330,2121,1499,624,303,undefined,69,96,1881,107,189,591,87,145,79,95,59,-1,-1,59,981,585,366,400,319,517,82,-1,543,185,591,undefined
03/02/2019,14,2321,1478,-1,2112,783,1425,-1,163,112,52,54,182,-1,388,920,900,171,85,1202,404,850,-1,178,1113,767,1212,193,2394,1510,593,335,undefined,94,125,1954,147,168,624,115,117,113,107,68,-1,-1,52,872,482,265,494,205,472,135,-1,419,196,624,undefined
03/02/2019,15,2129,1519,-1,2133,661,1402,-1,173,121,49,55,202,-1,383,973,761,221,85,1118,338,825,-1,212,973,766,856,157,1589,1465,587,420,undefined,86,147,1639,128,148,567,135,138,86,79,46,-1,-1,33,960,457,226,406,211,465,84,-1,367,191,567,undefined
03/02/2019,16,1834,1489,-1,1919,742,1622,-1,195,118,70,105,288,-1,462,1075,735,183,79,919,309,804,-1,168,1055,919,424,113,2078,1630,589,295,undefined,95,91,2026,113,85,604,100,143,153,83,26,-1,-1,66,1037,322,163,394,111,416,95,-1,360,215,604,undefined
03/02/2019,17,1843,1200,-1,1685,874,1542,-1,175,102,78,128,300,-1,421,1175,504,178,91,1015,498,917,-1,168,1020,743,393,100,1709,1348,726,375,undefined,59,76,1821,127,123,602,95,133,218,88,8,-1,-1,67,1109,185,123,392,220,491,134,-1,358,213,602,undefined
03/02/2019,18,1567,823,-1,1444,814,1435,-1,171,146,95,228,494,-1,498,1038,357,148,87,1114,767,916,-1,156,946,865,352,127,736,1064,600,463,undefined,57,57,1922,157,194,486,87,144,206,78,15,-1,-1,61,1126,237,119,484,145,358,160,-1,357,223,486,undefined
