date,street,people_count
2022-05-15,Chinatown-Swanston St (North),11935
2022-05-15,Bourke Street Mall (North),19600
2022-05-14,QV Market-Peel St,3675
2022-05-14,Bourke Street Mall (North),24370
2022-05-14,Chinatown-Swanston St (North),14667
2022-05-14,Collins Place (North),2109
2022-05-14,Melbourne Central,33233
2022-05-14,Southern Cross Station,2624
2022-05-14,Spencer St-Collins St (North),15921
2022-05-13,Chinatown-Swanston St (North),11190
2022-05-13,Spencer St-Collins St (North),21573
2022-05-13,Southern Cross Station,9374
2022-05-13,QV Market-Peel St,2779
2022-05-13,Melbourne Central,26953
2022-05-13,Collins Place (North),5241
2022-05-13,Bourke Street Mall (North),19814
2022-05-12,Spencer St-Collins St (North),19105
2022-05-12,Southern Cross Station,12603
2022-05-12,QV Market-Peel St,2387
2022-05-12,Melbourne Central,21533
2022-05-12,Collins Place (North),6750
2022-05-12,Chinatown-Swanston St (North),8212
2022-05-12,Bourke Street Mall (North),17704
2022-05-11,Melbourne Central,21097
2022-05-11,Spencer St-Collins St (North),18682
2022-05-11,QV Market-Peel St,1773
2022-05-11,Collins Place (North),6471
2022-05-11,Chinatown-Swanston St (North),7295
2022-05-11,Bourke Street Mall (North),15677
2022-05-11,Southern Cross Station,12543
2022-05-10,Spencer St-Collins St (North),18312
2022-05-10,Southern Cross Station,12530
2022-05-10,QV Market-Peel St,2458
2022-05-10,Melbourne Central,20235
2022-05-10,Collins Place (North),6694
2022-05-10,Chinatown-Swanston St (North),7639
2022-05-10,Bourke Street Mall (North),15612
2022-05-09,Collins Place (North),5107
2022-05-09,Bourke Street Mall (North),14884
2022-05-09,Chinatown-Swanston St (North),7116
2022-05-09,QV Market-Peel St,1702
2022-05-09,Melbourne Central,19365
2022-05-09,Southern Cross Station,8659
2022-05-09,Spencer St-Collins St (North),16372
2022-05-08,Spencer St-Collins St (North),11129
2022-05-08,Southern Cross Station,1762
2022-05-08,QV Market-Peel St,3453
2022-05-08,Melbourne Central,22276
2022-05-08,Collins Place (North),1372
2022-05-08,Chinatown-Swanston St (North),10743
2022-05-08,Bourke Street Mall (North),19052
2022-05-07,Melbourne Central,29370
2022-05-07,Bourke Street Mall (North),24513
2022-05-07,Collins Place (North),2266
2022-05-07,Chinatown-Swanston St (North),13534
2022-05-07,QV Market-Peel St,4021
2022-05-07,Spencer St-Collins St (North),14555
2022-05-07,Southern Cross Station,2676
2022-05-06,Spencer St-Collins St (North),18174
2022-05-06,Southern Cross Station,8698
2022-05-06,QV Market-Peel St,2885
2022-05-06,Melbourne Central,24914
2022-05-06,Collins Place (North),5628
2022-05-06,Chinatown-Swanston St (North),10220
2022-05-06,Bourke Street Mall (North),20209
2022-05-05,Collins Place (North),6514
2022-05-05,Bourke Street Mall (North),18460
2022-05-05,Chinatown-Swanston St (North),8041
2022-05-05,Spencer St-Collins St (North),18992
2022-05-05,Melbourne Central,22886
2022-05-05,QV Market-Peel St,2513
2022-05-05,Southern Cross Station,12013
2022-05-04,Collins Place (North),6300
