,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
3191,IDCJAC0010,86338,2021,9,27,19.4,1.0,Y,2021-09-27
3192,IDCJAC0010,86338,2021,9,28,23.0,1.0,Y,2021-09-28
3193,IDCJAC0010,86338,2021,9,29,19.3,1.0,Y,2021-09-29
3194,IDCJAC0010,86338,2021,9,30,18.1,1.0,Y,2021-09-30
3195,IDCJAC0010,86338,2021,10,1,22.2,1.0,Y,2021-10-01
3196,IDCJAC0010,86338,2021,10,2,17.2,1.0,Y,2021-10-02
3197,IDCJAC0010,86338,2021,10,3,22.0,1.0,Y,2021-10-03
3198,IDCJAC0010,86338,2021,10,4,18.1,1.0,Y,2021-10-04
3199,IDCJAC0010,86338,2021,10,5,17.4,1.0,Y,2021-10-05
3200,IDCJAC0010,86338,2021,10,6,21.6,1.0,Y,2021-10-06
3201,IDCJAC0010,86338,2021,10,7,16.4,1.0,Y,2021-10-07
3202,IDCJAC0010,86338,2021,10,8,20.8,1.0,Y,2021-10-08
3203,IDCJAC0010,86338,2021,10,9,24.8,1.0,Y,2021-10-09
3204,IDCJAC0010,86338,2021,10,10,14.9,1.0,Y,2021-10-10
3205,IDCJAC0010,86338,2021,10,11,14.4,1.0,Y,2021-10-11
3206,IDCJAC0010,86338,2021,10,12,21.3,1.0,Y,2021-10-12
3207,IDCJAC0010,86338,2021,10,13,18.8,1.0,Y,2021-10-13
3208,IDCJAC0010,86338,2021,10,14,19.4,1.0,Y,2021-10-14
3209,IDCJAC0010,86338,2021,10,15,17.1,1.0,Y,2021-10-15
3210,IDCJAC0010,86338,2021,10,16,16.0,1.0,Y,2021-10-16
3211,IDCJAC0010,86338,2021,10,17,17.4,1.0,Y,2021-10-17
3212,IDCJAC0010,86338,2021,10,18,16.9,1.0,Y,2021-10-18
3213,IDCJAC0010,86338,2021,10,19,16.4,1.0,Y,2021-10-19
3214,IDCJAC0010,86338,2021,10,20,23.0,1.0,Y,2021-10-20
3215,IDCJAC0010,86338,2021,10,21,25.8,1.0,Y,2021-10-21
3216,IDCJAC0010,86338,2021,10,22,27.3,1.0,Y,2021-10-22
3217,IDCJAC0010,86338,2021,10,23,16.1,1.0,Y,2021-10-23
3218,IDCJAC0010,86338,2021,10,24,15.3,1.0,Y,2021-10-24
3219,IDCJAC0010,86338,2021,10,25,15.2,1.0,Y,2021-10-25
3220,IDCJAC0010,86338,2021,10,26,18.1,1.0,Y,2021-10-26
3221,IDCJAC0010,86338,2021,10,27,27.2,1.0,Y,2021-10-27
3222,IDCJAC0010,86338,2021,10,28,28.3,1.0,Y,2021-10-28
3223,IDCJAC0010,86338,2021,10,29,15.5,1.0,Y,2021-10-29
3224,IDCJAC0010,86338,2021,10,30,15.9,1.0,Y,2021-10-30
3225,IDCJAC0010,86338,2021,10,31,19.6,1.0,Y,2021-10-31
3226,IDCJAC0010,86338,2021,11,1,23.2,1.0,Y,2021-11-01
3227,IDCJAC0010,86338,2021,11,2,29.7,1.0,Y,2021-11-02
3228,IDCJAC0010,86338,2021,11,3,25.1,1.0,Y,2021-11-03
3229,IDCJAC0010,86338,2021,11,4,17.5,1.0,Y,2021-11-04
3230,IDCJAC0010,86338,2021,11,5,22.9,1.0,Y,2021-11-05
3231,IDCJAC0010,86338,2021,11,6,27.0,1.0,Y,2021-11-06
3232,IDCJAC0010,86338,2021,11,7,16.5,1.0,Y,2021-11-07
